_id,program_key,uid,name,degree,type,source,platforms[0],active,created_date,updated_date,deadlines[0].intake,deadlines[0].admission_start,deadlines[0].application_start_date,deadlines[0].deadline,tuition_cost,total_cost,duration,opm.duration.orignalValue,opm.duration.valueInWeeks,opm.duration.unitsToBeConverted,opm.duration.minValue,opm.duration.maxValue,opm.duration.displayValue,workload,admission_url,url,university_name,universityData.name,universityData.logo,universityData.country,aos[0].aos_name,course_specialization[0].name,course_specialization[1].name,opm.deadlines[0].deadline,opm.deadlines[0].admission_start,opm.deadlines[0].application_start_date,opm.deadlines[0].intake,opm.fees.baseValue,opm.fees.currency,opm.fees.amountInInr,"opm.fees.""fxRateToInr""","opm.fees.""fxRateAt"""
,,79,.NET Programming,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,,,,,5670,5670,180 days,180 days,26,weeks,26,26,26 weeks,Self Paced,https://www.simplilearn.com/dot-net-programming-certification-training-course,https://www.simplilearn.com/dot-net-programming-certification-training-course,Simplilearn,Simplilearn,,India,Windows Application Development,Visual Studio integrated development environment,WinForms,,,,,5670,INR,5670,,
,,81,Complete Financial Modeling Career Advancement Bundle,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,,,,,2199,2199,,,,,,,,Self Paced,https://www.simplilearn.com/finance-management/complete-financial-modeling-career-advancement-certification-training-bundle,https://www.simplilearn.com/finance-management/complete-financial-modeling-career-advancement-certification-training-bundle,Simplilearn,Simplilearn,,India,,,,,,,,2199,INR,2199,,
,,307,AI-Powered Full Stack Developer Course,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,2026-08-23T09:54:14Z,,,2026-08-12T09:57:41Z,53999,53999,9 months,9 months,40,weeks,40,40,40 weeks,10 hrs/week,https://www.simplilearn.com/full-stack-developer-course-mern-certification-training,https://www.simplilearn.com/full-stack-developer-course-mern-certification-training,Simplilearn,Simplilearn,,India,Full Stack Development,Frontend Development,Backend Development,2026-08-12T09:57:41Z,,,2026-08-23T09:54:14Z,53999,INR,53999,,
,,311,Advanced Certification in UI/UX Design with Generative AI,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,2026-08-18T09:54:14Z,,,2026-08-11T09:57:41Z,94990,94990,5 months,5 months,22,weeks,22,22,22 weeks,Self Paced,https://www.simplilearn.com/ui-ux-certification-training-course,https://www.simplilearn.com/ui-ux-certification-training-course,Simplilearn,Simplilearn,,India,UI and UX Design,UX Design,UI Design,2026-08-11T09:57:41Z,,,2026-08-18T09:54:14Z,94990,INR,94990,,
,,316,Executive Certificate Programme in General Management,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,,,,,262550,262550,6 months,6 months,27,weeks,27,27,27 weeks,Self Paced,https://www.simplilearn.com/general-management-certification-training-course,https://www.simplilearn.com/general-management-certification-training-course,Simplilearn,Simplilearn,,India,General Management,General Management,Economics,,,,,262550,INR,262550,,
,,317,Professional Cloud Architect Training,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,,,,,2200000,2200000,15 weeks,15 weeks,15,weeks,15,15,15 weeks,5 hrs/week,https://www.simplilearn.com/professional-google-cloud-architect-certification,https://www.simplilearn.com/professional-google-cloud-architect-certification,Simplilearn,Simplilearn,,India,Microsoft Azure Solutions,Designing and Planning Solutions,Deployment and Implementation,,,,,2200000,INR,2200000,,
,,403,All-in-One Java Development Training Suite,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,,,,,6825,6825,365 days,365 days,53,weeks,53,53,53 weeks,Self Paced,https://www.simplilearn.com/mobile-and-software-development/java-javase-javaee-hibernate-spring-development-training,https://www.simplilearn.com/mobile-and-software-development/java-javase-javaee-hibernate-spring-development-training,Simplilearn,Simplilearn,,India,,,,,,,,6825,INR,6825,,
,,409,Professional Certificate Program in Lean Six Sigma,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,,,,,97999,97999,12 weeks,12 weeks,12,weeks,12,12,12 weeks,8-10hrs / week,https://www.simplilearn.com/pcp-lean-six-sigma-certification-training-course,https://www.simplilearn.com/pcp-lean-six-sigma-certification-training-course,Simplilearn,Simplilearn,,India,Agile and Quality Management,Agile Management,Quality Management,,,,,97999,INR,97999,,
,,410,Professional Certificate Program in AI-Powered Data Analytics,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,2026-08-05T09:54:14Z,,,2026-08-06T09:57:41Z,134998,134998,7 months,7 months,31,weeks,31,31,31 weeks,Self Paced,https://www.simplilearn.com/iitm-ai-data-analytics-program,https://www.simplilearn.com/iitm-ai-data-analytics-program,Simplilearn,Simplilearn,,India,Data Analytics and ETL,Data Analytics Lifecycle,ETL Workflow Understanding,2026-08-06T09:57:41Z,,,2026-08-05T09:54:14Z,134998,INR,134998,,
,,411,AI-Enabled DevOps Engineer Masters Program,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,2026-09-26T09:54:14Z,,,,45763,45763,6 months,6 months,27,weeks,27,27,27 weeks,Self Paced,https://www.simplilearn.com/devops-engineer-masters-program-certification-training,https://www.simplilearn.com/devops-engineer-masters-program-certification-training,Simplilearn,Simplilearn,,India,DevOps,DevOps Methodology,Continuous Integration,,,,2026-09-26T09:54:14Z,45763,INR,45763,,
,,412,Post Graduate Program in Digital Supply Chain Management,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,,,,,108999,108999,6 Months,6 Months,27,weeks,27,27,27 weeks,Self Paced,https://www.simplilearn.com/pgp-digital-supply-chain-management-certification-training-course,https://www.simplilearn.com/pgp-digital-supply-chain-management-certification-training-course,Simplilearn,Simplilearn,,India,Supply Chain Planning,DecisionMaking,Collaborative Planning and Forecasting,,,,,108999,INR,108999,,
,,415,PMP® Certification Bootcamp,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,,,,,1152821,1152821,4 days,4 days,1,weeks,1,1,1 weeks,Self Paced,https://www.simplilearn.com/pmp-exam-prep-training,https://www.simplilearn.com/pmp-exam-prep-training,Simplilearn,Simplilearn,,India,Project Management,Work Breakdown Structure,Scope Management,,,,,1152821,INR,1152821,,
,,418,Executive Programme in Business Analytics and AI for Managers,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,2026-08-25T09:54:14Z,,,2026-08-15T09:57:41Z,247800,247800,7 months,7 months,31,weeks,31,31,31 weeks,Self Paced,https://www.simplilearn.com/program-in-business-analytics-and-ai-for-managers,https://www.simplilearn.com/program-in-business-analytics-and-ai-for-managers,Simplilearn,Simplilearn,,India,AI and Data Analytics,AI amp Generative AI Applications,Statistical Analysis and Data Cleaning,2026-08-15T09:57:41Z,,,2026-08-25T09:54:14Z,247800,INR,247800,,
,,419,CCBA® Certification Training,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,,,,,846,846,180 days,180 days,26,weeks,26,26,26 weeks,Self Paced,https://www.simplilearn.com/project-management/ccba-certification-training,https://www.simplilearn.com/project-management/ccba-certification-training,Simplilearn,Simplilearn,,India,Business Analysis,Business analysis key concepts,Business Analysis Planning and Monitoring,,,,,846,INR,846,,
,,420,PMI-RMP ® Certification,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,,,,,6999,6999,180 days,180 days,26,weeks,26,26,26 weeks,Self Paced,https://www.simplilearn.com/project-management/pmi-rmp-training,https://www.simplilearn.com/project-management/pmi-rmp-training,Simplilearn,Simplilearn,,India,Risk Management,Quantitative and qualitative risk assessment,Risk mitigation,,,,,6999,INR,6999,,
,,423,Puppet Training Course,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,,,,,2310,2310,180 days,180 days,26,weeks,26,26,26 weeks,Self Paced,https://www.simplilearn.com/puppet-certification-training,https://www.simplilearn.com/puppet-certification-training,Simplilearn,Simplilearn,,India,Puppet Configuration Management,Puppet ecosystem and components,Infrastructure configuration,,,,,2310,INR,2310,,
,,424,PySpark Training Course,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,,,,,945,945,365 days,365 days,53,weeks,53,53,53 weeks,Self Paced,https://www.simplilearn.com/pyspark-certification-training-course,https://www.simplilearn.com/pyspark-certification-training-course,Simplilearn,Simplilearn,,India,Apache Spark,Spark 20 architecture,Spark SQL,,,,,945,INR,945,,
,,428,React.js Training Course,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,,,,,23160,23160,180 days,180 days,26,weeks,26,26,26 weeks,Self Paced,https://www.simplilearn.com/react-js-certification-training-course,https://www.simplilearn.com/react-js-certification-training-course,Simplilearn,Simplilearn,,India,React Development,React components,React State and Props,,,,,23160,INR,23160,,
,,432,AI-Powered Automation Test Engineer Program,Certificate,Certificate,SIMPLILEARN,OPM,TRUE,2026-08-06T09:07:28.189Z,2026-08-06T09:07:28.189Z,2026-09-19T09:54:14Z,,,,45762,45762,6 months,6 months,27,weeks,27,27,27 weeks,Self Paced,https://www.simplilearn.com/automation-testing-masters-program-certification-training-course,https://www.simplilearn.com/automation-testing-masters-program-certification-training-course,Simplilearn,Simplilearn,,India,Agile Java Development,Agile,Java,,,,2026-09-19T09:54:14Z,45762,INR,45762,,
